project_code,yard_name,packing_count,source
2506036,E02,11,jeil_actual
2506044,D05,16,jeil_actual
2506044,G03,6,jeil_actual
2506044,D04,2,jeil_actual
2506044,B01,10,jeil_actual
2506044,F04,4,jeil_actual
2506044,E06,12,jeil_actual
2507007,G07,12,jeil_actual
2507007,G02,2,jeil_actual
2507007,G01,4,jeil_actual
2507007,A03,3,jeil_actual
2507007,A01,3,jeil_actual
2507036,D10,5,jeil_actual
2507036,E04,14,jeil_actual
2507036,F02,9,jeil_actual
2507036,B07,11,jeil_actual
2508013,E02,1,jeil_actual
2508021,H01,3,jeil_actual
2508021,A03,1,jeil_actual
2508021,H04,1,jeil_actual
2508021,H03,9,jeil_actual
2509026,G01,2,jeil_actual
2510011,F09,1,jeil_actual
2510011,G05,2,jeil_actual
2510011,F02,15,jeil_actual
2510011,F03,1,jeil_actual
2510011,D09,8,jeil_actual
2510011,D10,28,jeil_actual
2510011,B07,9,jeil_actual
2510035,B01,2,jeil_actual
2510035,D09,3,jeil_actual
2510035,B10,1,jeil_actual
2510035,D08,1,jeil_actual
2512011,H01,3,jeil_actual
2512012,G04,3,jeil_actual
2512023,H03,1,jeil_actual
2512023,D10,1,jeil_actual
2512023,G09,5,jeil_actual
2512023,G10,1,jeil_actual
2512032,D07,4,jeil_actual
2512039,D01,9,jeil_actual
2512048,G04,3,jeil_actual
2512048,G03,1,jeil_actual
2601009,G08,1,jeil_actual
2601009,A02,11,jeil_actual
2601009,D09,10,jeil_actual
2601021,A06,6,jeil_actual
2601021,E01,1,jeil_actual
2601021,D03,2,jeil_actual
2601021,B03,27,jeil_actual
2601021,C07,26,jeil_actual
2601021,C08,7,jeil_actual
2601021,A05,7,jeil_actual
2601021,H11,1,jeil_actual
2601022,A05,9,jeil_actual
2601022,E02,8,jeil_actual
2601022,E03,2,jeil_actual
2601022,F04,9,jeil_actual
2601022,G08,3,jeil_actual
2601022,F05,11,jeil_actual
2601022,F02,10,jeil_actual
2601025,G07,1,jeil_actual
2603004,D09,16,jeil_actual
2603004,H10,3,jeil_actual
2603004,F09,15,jeil_actual
2603004,G01,3,jeil_actual
2603004,D02,14,jeil_actual
2603010,G02,5,jeil_actual
2603014,B05,37,jeil_actual
2603014,H12,5,jeil_actual
2603014,A06,8,jeil_actual
2603014,D04,27,jeil_actual
2603014,B03,29,jeil_actual
2603014,B06,8,jeil_actual
2603024,G02,1,jeil_actual
2603029,G02,1,jeil_actual
2603029,C04,20,jeil_actual
2603029,A02,8,jeil_actual
2603029,G06,1,jeil_actual
2603032,A05,13,jeil_actual
2603032,G09,7,jeil_actual
2603032,A03,13,jeil_actual
2604001,G07,6,jeil_actual
2604007,C06,20,jeil_actual
2604007,G04,2,jeil_actual
2604007,G01,1,jeil_actual
2604007,E05,24,jeil_actual
2604007,E01,1,jeil_actual
2604007,E03,5,jeil_actual
2604007,G05,4,jeil_actual
2604014,F03,5,jeil_actual
2604014,F07,11,jeil_actual
2604014,D10,4,jeil_actual
2604014,D09,4,jeil_actual
2604018,G05,1,jeil_actual
2604018,G03,4,jeil_actual
2604020,G02,2,jeil_actual
2604021,G02,4,jeil_actual
2604022,G10,4,jeil_actual
2604024,A07,21,jeil_actual
2604025,G01,2,jeil_actual
2604026,C05,23,jeil_actual
2604026,C01,1,jeil_actual
2604026,A05,21,jeil_actual
2604026,G05,2,jeil_actual
2604030,G04,1,jeil_actual
2604032,G01,6,jeil_actual
2604032,G04,1,jeil_actual
2604033,G02,2,jeil_actual
2604033,G03,2,jeil_actual
2604034,C07,4,jeil_actual
2604036,D10,3,jeil_actual
2604036,D01,1,jeil_actual
2604036,D07,4,jeil_actual
2604036,A06,4,jeil_actual
2604036,G09,4,jeil_actual
2604036,G08,2,jeil_actual
2604037,G06,3,jeil_actual
2604038,G02,2,jeil_actual
2605001,G04,3,jeil_actual
2605003,G07,1,jeil_actual
2605005,A08,4,jeil_actual
2605008,E05,4,jeil_actual
2605008,G06,4,jeil_actual
2605009,C05,8,jeil_actual
2605011,G05,1,jeil_actual
2605014,G07,3,jeil_actual
2605015,G09,4,jeil_actual
2605016,G02,2,jeil_actual
2605016,G01,1,jeil_actual
2605017,G06,1,jeil_actual
2605019,G03,4,jeil_actual
2605019,E03,1,jeil_actual
2605020,A01,1,jeil_actual
2605021,C01,19,jeil_actual
2605022,F01,5,jeil_actual
2605022,H04,2,jeil_actual
2605022,H01,2,jeil_actual
2605023,G07,4,jeil_actual
2605024,G03,1,jeil_actual
2605026,G01,1,jeil_actual
2605027,A06,5,jeil_actual
2605027,A05,13,jeil_actual
2605028,G03,1,jeil_actual
2605028,E03,1,jeil_actual
2605029,G03,1,jeil_actual
2605033,A02,11,jeil_actual
2605034,C03,13,jeil_actual
2605035,F05,6,jeil_actual
2605035,A01,10,jeil_actual
2605036,E01,6,jeil_actual
2605037,G09,4,jeil_actual
2605038,G01,1,jeil_actual
2605038,B10,1,jeil_actual
2605040,E03,6,jeil_actual
2606006,G02,2,jeil_actual
2606008,G02,1,jeil_actual
2606012,G02,1,jeil_actual
